city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Dallas,8.2,17.099369302163,1317929,green,green,2583,23.4
Baltimore,8.4,17.5164270900207,2266981,green,green,2583,10.5
Minneapolis,7.35,15.3268737037681,382603,green,green,2583,10.7
San Francisco,7.5,15.6396670446613,870887,green,green,2583,5.5
Bridgeport,8.6,17.9334848778783,144236,green,green,2584,13.8
St. Paul,6.65,13.8671714462664,285063,green,green,2584,12.4
Des Moines,7.15,14.9098159159105,496779,green,green,2584,16.7
Louisville,8.15,16.9951048551986,1031932,green,green,2584,13.8
St. Louis,8.8375,18.4287410009592,2183942,green,green,2584,11.7
Omaha,7.3,15.2226092568037,780190,green,green,2585,10.4
Denver,8.17222222222222,17.041444609405,693060,green,green,2586,7.5
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2586,6.1
Fall River,5.4,11.2605602721561,88857,green,green,2586,12.9
St. Louis,8.8375,18.4287410009592,2183942,green,green,2586,6.8
Philadelphia,9.46,19.7268333656661,5585211,green,green,2586,9.4
Baltimore,8.4,17.5164270900207,2266981,green,green,2586,16
El Paso,9.6,20.0187738171665,876991,yellow,green,2587,11.8
Oakland,7.83333333333333,16.3347633577574,420005,green,green,2587,6.8
Washington,7.2,15.0140803628749,4955139,green,green,2587,13.1
Rapid City,6.2,12.9287914235867,134598,green,green,2588,10.9
Yuma,8.3,17.3078981960919,195751,green,green,2588,13.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2589,17.1
Greensboro,8.05,16.7865759612698,336610,green,green,2589,17.3
Rochester,6.1,12.7202625296579,732692,green,green,2589,17
Des Moines,7.15,14.9098159159105,496779,green,green,2589,9
Modesto,9.85,20.5400960519885,384558,yellow,green,2589,16.9
Baltimore,8.4,17.5164270900207,2266981,green,green,2590,9.1
Rochester,6.1,12.7202625296579,732692,green,green,2591,19.1
Jersey City,8.75,18.2462782187715,264152,green,green,2591,10.6
Scranton,8.2,17.099369302163,378605,green,green,2592,9.4
New York,6.625,13.8150392227842,8174962,green,green,2592,14.5
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2593,24.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2594,13.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2594,8
New York,6.625,13.8150392227842,8174962,green,green,2594,13.5
Jacksonville,7.3,15.2226092568037,1171962,green,green,2595,8.4
New York,6.625,13.8150392227842,8174962,green,green,2595,13.5
Las Vegas,9.1,18.9761293475224,2270187,green,green,2595,16.9
New York,6.625,13.8150392227842,8174962,green,green,2596,12.5
New York,6.625,13.8150392227842,8174962,green,green,2596,5.1
Reno,6,12.5117336357291,446831,green,green,2597,6.5
New York,6.625,13.8150392227842,8174962,green,green,2597,8.8
San Francisco,7.5,15.6396670446613,870887,green,green,2598,5.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2598,13.5
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2598,12.5
Oakland,7.83333333333333,16.3347633577574,420005,green,green,2598,9.9
Phoenix,8.68,18.1003079930214,1447624,green,green,2599,6.9
New York,6.625,13.8150392227842,8174962,green,green,2599,12.5
Henderson,7.4,15.4311381507325,257295,green,green,2599,10.6
New York,6.625,13.8150392227842,8174962,green,green,2600,11.9
San Jose,8.75,18.2462782187715,1729674,green,green,2600,8.9
Phoenix,8.68,18.1003079930214,1447624,green,green,2600,6.9
St. Louis,8.8375,18.4287410009592,2183942,green,green,2600,9.5
