city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Henderson,7.4,15.4311381507325,257295,green,green,50,10.8
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,51,10.4
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,51,17.2
Phoenix,8.68,18.1003079930214,1447624,green,green,52,6.6
Lancaster,8.95,18.6633360066292,448969,green,green,52,10.8
Fort Collins,6.8,14.1799647871596,144344,green,green,53,7.9
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,53,8.1
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,55,14.9
Charleston,7.3,15.2226092568037,227078,green,green,56,17
New York,6.625,13.8150392227842,8174962,green,green,56,9.1
Louisville,8.15,16.9951048551986,1031932,green,green,57,11.9
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,59,8.8
Louisville,8.15,16.9951048551986,1031932,green,green,60,6.4
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,61,7.9
Kansas City,7.6,15.8481959385901,1604389,green,green,61,20.4
Omaha,7.3,15.2226092568037,780190,green,green,61,4.5
Greensboro,8.05,16.7865759612698,336610,green,green,61,6.4
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,61,23.7
Duluth,5.1,10.6349735903697,279771,green,green,62,9.3
Modesto,9.85,20.5400960519885,384558,yellow,green,62,10.4
Salinas,5.7,11.8861469539426,415057,green,green,65,11
Lawton,6.8,14.1799647871596,130291,green,green,65,12.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,69,18
Miami,7.85,16.3695181734122,5817221,green,green,71,22.7
Oakland,7.83333333333333,16.3347633577574,420005,green,green,71,7.1
Kansas City,7.6,15.8481959385901,1604389,green,green,72,7
New York,6.625,13.8150392227842,8174962,green,green,72,16.4
New York,6.625,13.8150392227842,8174962,green,green,73,8.6
New York,6.625,13.8150392227842,8174962,green,green,73,5.2
New York,6.625,13.8150392227842,8174962,green,green,73,9.1
Philadelphia,9.46,19.7268333656661,5585211,green,green,74,8.4
Kansas City,7.6,15.8481959385901,1604389,green,green,75,14.1
Dallas,8.2,17.099369302163,1317929,green,green,75,10
Dallas,8.2,17.099369302163,1317929,green,green,76,12.8
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,76,12.5
Portsmouth,5.55,11.5733536130494,79499,green,green,78,2.6
San Jose,8.75,18.2462782187715,1729674,green,green,79,11.2
San Jose,8.75,18.2462782187715,1729674,green,green,80,7.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,81,9.4
Jersey City,8.75,18.2462782187715,264152,green,green,81,8.9
Tempe,7.35,15.3268737037681,161780,green,green,81,8.7
Seattle,5.975,12.4596014122468,3248724,green,green,81,14.8
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,81,18.9
Kansas City,7.6,15.8481959385901,1604389,green,green,82,17.6
Boston,6.7,13.9714358932308,4249036,green,green,82,9.2
Duluth,5.1,10.6349735903697,279771,green,green,83,8.8
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,83,7.8
Honolulu,3.1,6.46439571179334,847986,green,green,84,5.4
New York,6.625,13.8150392227842,8174962,green,green,84,5.9
Mesa,6.7,13.9714358932308,440134,green,green,88,6.4
Greenville,9.6,20.0187738171665,462567,yellow,green,89,20
Yakima,8.55,17.8292204309139,243231,green,green,90,12.5
Concord,5.9,12.3032047418002,650099,green,green,91,7.2
Victorville,7.5,15.6396670446613,115921,green,green,92,14.6
Des Moines,7.15,14.9098159159105,496779,green,green,94,9.8
Greensboro,8.05,16.7865759612698,336610,green,green,95,8.4
Kansas City,7.6,15.8481959385901,1604389,green,green,95,10.5
South Bend,9,18.7676004535936,101045,green,green,95,6.4
Albuquerque,5,10.4264446964409,826787,green,green,96,9.8
Duluth,5.1,10.6349735903697,279771,green,green,96,7
Honolulu,3.1,6.46439571179334,847986,green,green,97,11.2
Charleston,7.3,15.2226092568037,227078,green,green,98,12.1
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,98,7.3
Raleigh,8.9,18.5590715596648,1139770,green,green,100,5.8
New York,6.625,13.8150392227842,8174962,green,green,105,6.6
Seattle,5.975,12.4596014122468,3248724,green,green,106,8.7
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,109,13.5
Dallas,8.2,17.099369302163,1317929,green,green,112,15.4
New York,6.625,13.8150392227842,8174962,green,green,113,12.2
Fayetteville,8.5,17.7249559839495,328726,green,green,114,23.4
Omaha,7.3,15.2226092568037,780190,green,green,115,7.2
Dallas,8.2,17.099369302163,1317929,green,green,116,14.6
New York,6.625,13.8150392227842,8174962,green,green,117,4.8
Concord,5.9,12.3032047418002,650099,green,green,117,9
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,117,18.8
Cedar Rapids,7.8,16.2652537264478,257940,green,green,118,9
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,120,7.6
Phoenix,8.68,18.1003079930214,1447624,green,green,120,10
Richmond,8.5,17.7249559839495,1029581,green,green,121,10
Albuquerque,5,10.4264446964409,826787,green,green,123,5.2
Yuma,8.3,17.3078981960919,195751,green,green,123,18.1
Detroit,8.4,17.5164270900207,3639050,green,green,123,9.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,127,9.9
Cleveland,9.7,20.2273027110953,1772872,yellow,green,127,11
Stockton,12.65,26.3789050819954,403353,yellow,yellow,127,10.8
North Las Vegas,10.2,21.2699471807394,216686,yellow,yellow,128,1.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,131,7
Glendale,6.7,13.9714358932308,226441,green,green,132,8.1
Lawton,6.8,14.1799647871596,130291,green,green,137,6.9
Auburn,5.9,12.3032047418002,13305,green,green,138,12
Charleston,7.3,15.2226092568037,227078,green,green,140,8.7
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,142,8.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,145,9.7
Santa Maria,7,14.5970225750172,99597,green,green,147,1.8
Glendale,6.7,13.9714358932308,226441,green,green,149,7.9
New York,6.625,13.8150392227842,8174962,green,green,151,7.4
New York,6.625,13.8150392227842,8174962,green,green,155,5.1
New York,6.625,13.8150392227842,8174962,green,green,161,16.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,164,22
Ogden,9.2,19.1846582414512,82836,green,green,168,9.9
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,169,5.2
San Francisco,7.5,15.6396670446613,870887,green,green,171,3.5
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,173,7.3
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,175,7.9
Reno,6,12.5117336357291,446831,green,green,176,6.6
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,176,8.8
Albuquerque,5,10.4264446964409,826787,green,green,178,3.9
Kansas City,7.6,15.8481959385901,1604389,green,green,181,9.6
New York,6.625,13.8150392227842,8174962,green,green,183,3.5
Auburn,5.9,12.3032047418002,13305,green,green,184,10.4
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,186,8.5
Glendale,6.7,13.9714358932308,226441,green,green,187,8.4
Albuquerque,5,10.4264446964409,826787,green,green,190,11.8
Louisville,8.15,16.9951048551986,1031932,green,green,195,9.1
Albuquerque,5,10.4264446964409,826787,green,green,195,13
Redwood City,8.3,17.3078981960919,76802,green,green,196,7.6
Kansas City,7.6,15.8481959385901,1604389,green,green,197,2
St. Joseph,7.8,16.2652537264478,127329,green,green,198,11.1
Reno,6,12.5117336357291,446831,green,green,200,6.4
Boston,6.7,13.9714358932308,4249036,green,green,207,1.6
San Jose,8.75,18.2462782187715,1729674,green,green,210,5.7
Bloomington,6.7,13.9714358932308,159549,green,green,216,15.6
Victorville,7.5,15.6396670446613,115921,green,green,217,14.5
Reno,6,12.5117336357291,446831,green,green,217,12.2
Springfield,7.1,14.805551468946,646013,green,green,219,11
Mesa,6.7,13.9714358932308,440134,green,green,222,9.6
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,226,15.5
Yakima,8.55,17.8292204309139,243231,green,green,227,23.4
San Jose,8.75,18.2462782187715,1729674,green,green,230,9.1
New York,6.625,13.8150392227842,8174962,green,green,230,6.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,235,10.9
Modesto,9.85,20.5400960519885,384558,yellow,green,235,10.4
Modesto,9.85,20.5400960519885,384558,yellow,green,236,14.6
Des Moines,7.15,14.9098159159105,496779,green,green,239,8.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,239,15.9
Cleveland,9.7,20.2273027110953,1772872,yellow,green,240,30.3
Victorville,7.5,15.6396670446613,115921,green,green,241,8.5
Missoula,7.3,15.2226092568037,109299,green,green,243,9.8
New York,6.625,13.8150392227842,8174962,green,green,245,15.7
Reno,6,12.5117336357291,446831,green,green,245,6.5
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,246,5.7
Modesto,9.85,20.5400960519885,384558,yellow,green,247,11.4
Mesa,6.7,13.9714358932308,440134,green,green,248,6.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,259,8.2
Louisville,8.15,16.9951048551986,1031932,green,green,271,14.3
Richmond,8.5,17.7249559839495,1029581,green,green,279,15.2
Albany,8.65,18.0377493248427,613043,green,green,282,10.4
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,282,8.5
Phoenix,8.68,18.1003079930214,1447624,green,green,283,8.3
Davie,5.9,12.3032047418002,101871,green,green,288,8.8
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,293,12.4
Kansas City,7.6,15.8481959385901,1604389,green,green,311,15.4
San Francisco,7.5,15.6396670446613,870887,green,green,320,13.1
Dallas,8.2,17.099369302163,1317929,green,green,321,18.7
New York,6.625,13.8150392227842,8174962,green,green,322,12.7
New York,6.625,13.8150392227842,8174962,green,green,327,3.7
Louisville,8.15,16.9951048551986,1031932,green,green,328,6.3
Charleston,7.3,15.2226092568037,227078,green,green,328,14.3
Albany,8.65,18.0377493248427,613043,green,green,329,14.8
Boston,6.7,13.9714358932308,4249036,green,green,338,22.7
Honolulu,3.1,6.46439571179334,847986,green,green,341,1.1
Greenville,9.6,20.0187738171665,462567,yellow,green,346,6.6
Bloomington,6.7,13.9714358932308,159549,green,green,347,6.2
Miami,7.85,16.3695181734122,5817221,green,green,347,15.4
Charleston,7.3,15.2226092568037,227078,green,green,348,11.3
San Francisco,7.5,15.6396670446613,870887,green,green,350,6
Dallas,8.2,17.099369302163,1317929,green,green,350,9
Greensboro,8.05,16.7865759612698,336610,green,green,351,8.6
Jacksonville,7.3,15.2226092568037,1171962,green,green,353,8.3
Concord,5.9,12.3032047418002,650099,green,green,354,2.7
Cedar Rapids,7.8,16.2652537264478,257940,green,green,355,8.6
Bloomington,6.7,13.9714358932308,159549,green,green,355,5.9
Kansas City,7.6,15.8481959385901,1604389,green,green,355,7
Apple Valley,6.9,14.3884936810884,51957,green,green,356,15.8
Fresno,13.05,27.2130206577107,711610,yellow,yellow,356,9
Miami,7.85,16.3695181734122,5817221,green,green,364,10.3
Ontario,14.8,30.862276301465,163921,darkred,yellow,369,6.8
Honolulu,3.1,6.46439571179334,847986,green,green,374,3.6
Dallas,8.2,17.099369302163,1317929,green,green,376,9.2
Kansas City,7.6,15.8481959385901,1604389,green,green,377,9.4
Anaheim,9.4,19.6017160293089,351043,green,green,378,8.9
Springfield,7.1,14.805551468946,646013,green,green,380,7.6
Louisville,8.15,16.9951048551986,1031932,green,green,381,11.4
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,388,10.1
Boston,6.7,13.9714358932308,4249036,green,green,389,4.4
Concord,5.9,12.3032047418002,650099,green,green,390,16.8
New York,6.625,13.8150392227842,8174962,green,green,390,3.7
Mesa,6.7,13.9714358932308,440134,green,green,391,20.7
Concord,5.9,12.3032047418002,650099,green,green,393,10.9
Miami,7.85,16.3695181734122,5817221,green,green,408,3.5
Kent,5.5,11.469089166085,118593,green,green,414,6.9
Boston,6.7,13.9714358932308,4249036,green,green,418,9.8
Rochester,6.1,12.7202625296579,732692,green,green,423,6
New York,6.625,13.8150392227842,8174962,green,green,428,7.5
Kansas City,7.6,15.8481959385901,1604389,green,green,428,8.7
San Jose,8.75,18.2462782187715,1729674,green,green,429,8
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,439,10.1
New York,6.625,13.8150392227842,8174962,green,green,441,7.8
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,452,11.8
Yuma,8.3,17.3078981960919,195751,green,green,454,15.9
St. Joseph,7.8,16.2652537264478,127329,green,green,455,6
Miami,7.85,16.3695181734122,5817221,green,green,458,12.7
Yuma,8.3,17.3078981960919,195751,green,green,465,9.5
Dallas,8.2,17.099369302163,1317929,green,green,467,20.3
San Francisco,7.5,15.6396670446613,870887,green,green,467,13.9
New York,6.625,13.8150392227842,8174962,green,green,473,14.7
South Bend,9,18.7676004535936,101045,green,green,474,17.8
Iowa City,7.4,15.4311381507325,67946,green,green,475,7.2
Yuma,8.3,17.3078981960919,195751,green,green,475,18.6
Davie,5.9,12.3032047418002,101871,green,green,479,8.2
Mesa,6.7,13.9714358932308,440134,green,green,499,13.2
Anaheim,9.4,19.6017160293089,351043,green,green,499,5
Lexington,8.5,17.7249559839495,18931,green,green,501,10.3
Philadelphia,9.46,19.7268333656661,5585211,green,green,504,16
New York,6.625,13.8150392227842,8174962,green,green,512,39.5
South Bend,9,18.7676004535936,101045,green,green,513,11.4
Greensboro,8.05,16.7865759612698,336610,green,green,514,5
Fort Collins,6.8,14.1799647871596,144344,green,green,514,3.5
Davie,5.9,12.3032047418002,101871,green,green,525,5.7
Boston,6.7,13.9714358932308,4249036,green,green,535,21.4
Oakland,7.83333333333333,16.3347633577574,420005,green,green,540,4
Rochester,6.1,12.7202625296579,732692,green,green,541,6.2
Kansas City,7.6,15.8481959385901,1604389,green,green,542,25.9
Reno,6,12.5117336357291,446831,green,green,543,5.9
Mesa,6.7,13.9714358932308,440134,green,green,547,8.6
Missoula,7.3,15.2226092568037,109299,green,green,550,7.6
Livermore,7.5,15.6396670446613,89115,green,green,554,4.2
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,554,5.4
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,558,9.1
Fayetteville,8.5,17.7249559839495,328726,green,green,562,9.1
Nashville,9.1,18.9761293475224,969587,green,green,565,8.8
Omaha,7.3,15.2226092568037,780190,green,green,565,10.6
Dallas,8.2,17.099369302163,1317929,green,green,565,8.3
Concord,5.9,12.3032047418002,650099,green,green,574,7.5
Anaheim,9.4,19.6017160293089,351043,green,green,578,11.8
Miami,7.85,16.3695181734122,5817221,green,green,592,18.3
Sparks,7,14.5970225750172,90258,green,green,593,8.4
Philadelphia,9.46,19.7268333656661,5585211,green,green,601,2.5
Kansas City,7.6,15.8481959385901,1604389,green,green,602,16.9
Raleigh,8.9,18.5590715596648,1139770,green,green,616,6.8
Fayetteville,8.5,17.7249559839495,328726,green,green,625,4.5
Vallejo,7.95,16.578047067341,115940,green,green,626,9.4
Detroit,8.4,17.5164270900207,3639050,green,green,630,22.2
Springfield,7.1,14.805551468946,646013,green,green,634,8.9
Nashville,9.1,18.9761293475224,969587,green,green,636,6.5
Omaha,7.3,15.2226092568037,780190,green,green,636,8.8
Fresno,13.05,27.2130206577107,711610,yellow,yellow,638,12.3
Louisville,8.15,16.9951048551986,1031932,green,green,640,5.8
New York,6.625,13.8150392227842,8174962,green,green,641,5.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,649,6
Ontario,14.8,30.862276301465,163921,darkred,yellow,651,9.8
Reno,6,12.5117336357291,446831,green,green,655,5.4
Detroit,8.4,17.5164270900207,3639050,green,green,655,23.2
Honolulu,3.1,6.46439571179334,847986,green,green,655,16.5
Springfield,7.1,14.805551468946,646013,green,green,660,11.3
Davie,5.9,12.3032047418002,101871,green,green,660,8.1
Fresno,13.05,27.2130206577107,711610,yellow,yellow,663,9.4
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,664,5
Charleston,7.3,15.2226092568037,227078,green,green,669,9.6
Kent,5.5,11.469089166085,118593,green,green,669,8.7
Las Vegas,9.1,18.9761293475224,2270187,green,green,670,7.7
New York,6.625,13.8150392227842,8174962,green,green,673,10
Victorville,7.5,15.6396670446613,115921,green,green,681,13.7
Phoenix,8.68,18.1003079930214,1447624,green,green,684,13.6
Redwood City,8.3,17.3078981960919,76802,green,green,684,7.7
North Charleston,7.7,16.0567248325189,97635,green,green,685,25.9
Reno,6,12.5117336357291,446831,green,green,689,7.7
Rapid City,6.2,12.9287914235867,134598,green,green,690,5.1
El Paso,9.6,20.0187738171665,876991,yellow,green,698,28.1
Philadelphia,9.46,19.7268333656661,5585211,green,green,703,20.5
Honolulu,3.1,6.46439571179334,847986,green,green,704,7.9
Bloomington,6.7,13.9714358932308,159549,green,green,705,8.4
Denver,8.17222222222222,17.041444609405,693060,green,green,705,1.4
Missoula,7.3,15.2226092568037,109299,green,green,717,11
Raleigh,8.9,18.5590715596648,1139770,green,green,720,7.5
Cedar Rapids,7.8,16.2652537264478,257940,green,green,721,9.7
San Jose,8.75,18.2462782187715,1729674,green,green,725,7.2
Las Vegas,9.1,18.9761293475224,2270187,green,green,725,12.7
New York,6.625,13.8150392227842,8174962,green,green,731,3.7
New York,6.625,13.8150392227842,8174962,green,green,731,2.6
Detroit,8.4,17.5164270900207,3639050,green,green,734,22.1
North Las Vegas,10.2,21.2699471807394,216686,yellow,yellow,735,6.3
Kansas City,7.6,15.8481959385901,1604389,green,green,738,21
San Jose,8.75,18.2462782187715,1729674,green,green,745,8.2
San Jose,8.75,18.2462782187715,1729674,green,green,745,10.9
Springfield,7.1,14.805551468946,646013,green,green,745,9
Henderson,7.4,15.4311381507325,257295,green,green,749,6.8
Mesa,6.7,13.9714358932308,440134,green,green,750,10.9
New York,6.625,13.8150392227842,8174962,green,green,751,4.2
Detroit,8.4,17.5164270900207,3639050,green,green,758,20.3
Anaheim,9.4,19.6017160293089,351043,green,green,758,17.3
Stockton,12.65,26.3789050819954,403353,yellow,yellow,761,11.7
Louisville,8.15,16.9951048551986,1031932,green,green,761,5.1
New York,6.625,13.8150392227842,8174962,green,green,764,5.1
Reno,6,12.5117336357291,446831,green,green,765,7.9
Louisville,8.15,16.9951048551986,1031932,green,green,769,22.3
Detroit,8.4,17.5164270900207,3639050,green,green,772,21.8
Lancaster,8.95,18.6633360066292,448969,green,green,772,8.6
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,773,8.1
Detroit,8.4,17.5164270900207,3639050,green,green,774,23.6
Mesa,6.7,13.9714358932308,440134,green,green,777,8.1
Baltimore,8.4,17.5164270900207,2266981,green,green,778,15.5
South Bend,9,18.7676004535936,101045,green,green,779,13.1
Kent,5.5,11.469089166085,118593,green,green,779,6.5
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,784,8.5
Philadelphia,9.46,19.7268333656661,5585211,green,green,785,23.4
San Jose,8.75,18.2462782187715,1729674,green,green,790,5.8
Detroit,8.4,17.5164270900207,3639050,green,green,793,21.1
Detroit,8.4,17.5164270900207,3639050,green,green,795,24.7
Detroit,8.4,17.5164270900207,3639050,green,green,797,23.2
San Francisco,7.5,15.6396670446613,870887,green,green,797,22
Springfield,7.1,14.805551468946,646013,green,green,800,3.6
Jacksonville,7.3,15.2226092568037,1171962,green,green,801,8.7
Anaheim,9.4,19.6017160293089,351043,green,green,805,7.3
Nashville,9.1,18.9761293475224,969587,green,green,808,9.1
Ogden,9.2,19.1846582414512,82836,green,green,808,3.9
Dallas,8.2,17.099369302163,1317929,green,green,813,9.5
San Jose,8.75,18.2462782187715,1729674,green,green,815,6.6
Nashville,9.1,18.9761293475224,969587,green,green,824,8.8
Gary,9.175,19.132526017969,76424,green,green,826,29
Miami,7.85,16.3695181734122,5817221,green,green,826,10.5
Honolulu,3.1,6.46439571179334,847986,green,green,833,9.8
Philadelphia,9.46,19.7268333656661,5585211,green,green,833,13
Honolulu,3.1,6.46439571179334,847986,green,green,837,12
Baltimore,8.4,17.5164270900207,2266981,green,green,838,4.3
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,839,16.2
Cleveland,9.7,20.2273027110953,1772872,yellow,green,841,23.2
Ontario,14.8,30.862276301465,163921,darkred,yellow,841,8.7
Louisville,8.15,16.9951048551986,1031932,green,green,843,10.5
Cleveland,9.7,20.2273027110953,1772872,yellow,green,851,22.6
Greenville,9.6,20.0187738171665,462567,yellow,green,855,4.5
Baltimore,8.4,17.5164270900207,2266981,green,green,856,10.8
North Charleston,7.7,16.0567248325189,97635,green,green,871,2.5
Nashville,9.1,18.9761293475224,969587,green,green,874,19.7
Kansas City,7.6,15.8481959385901,1604389,green,green,875,7.1
Richmond,8.5,17.7249559839495,1029581,green,green,875,9.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,877,4.7
Cleveland,9.7,20.2273027110953,1772872,yellow,green,878,24
Phoenix,8.68,18.1003079930214,1447624,green,green,881,6.2
Kansas City,7.6,15.8481959385901,1604389,green,green,886,19.6
Dallas,8.2,17.099369302163,1317929,green,green,887,7.4
Detroit,8.4,17.5164270900207,3639050,green,green,888,20.4
Nashville,9.1,18.9761293475224,969587,green,green,888,12.5
Detroit,8.4,17.5164270900207,3639050,green,green,890,27
New York,6.625,13.8150392227842,8174962,green,green,894,18
Detroit,8.4,17.5164270900207,3639050,green,green,901,19
Kansas City,7.6,15.8481959385901,1604389,green,green,903,19.7
St. Joseph,7.8,16.2652537264478,127329,green,green,903,9.1
Honolulu,3.1,6.46439571179334,847986,green,green,904,10.7
Raleigh,8.9,18.5590715596648,1139770,green,green,905,6.9
Dallas,8.2,17.099369302163,1317929,green,green,912,10
Honolulu,3.1,6.46439571179334,847986,green,green,913,13.2
Greenville,9.6,20.0187738171665,462567,yellow,green,914,9.5
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,914,15.1
New York,6.625,13.8150392227842,8174962,green,green,914,10.6
Louisville,8.15,16.9951048551986,1031932,green,green,921,12
Glendale,6.7,13.9714358932308,226441,green,green,923,6.8
Fayetteville,8.5,17.7249559839495,328726,green,green,928,17.5
Honolulu,3.1,6.46439571179334,847986,green,green,933,3.1
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,936,16.6
Detroit,8.4,17.5164270900207,3639050,green,green,937,17.8
Cleveland,9.7,20.2273027110953,1772872,yellow,green,937,16.5
Louisville,8.15,16.9951048551986,1031932,green,green,938,10.3
Greenville,9.6,20.0187738171665,462567,yellow,green,938,1.9
Gary,9.175,19.132526017969,76424,green,green,940,27.8
Anchorage,5.65,11.7818825069782,380821,green,green,940,8.9
Las Vegas,9.1,18.9761293475224,2270187,green,green,942,13.8
Albuquerque,5,10.4264446964409,826787,green,green,946,9.6
Detroit,8.4,17.5164270900207,3639050,green,green,950,17.4
Cleveland,9.7,20.2273027110953,1772872,yellow,green,950,16.9
Charleston,7.3,15.2226092568037,227078,green,green,953,24.2
Detroit,8.4,17.5164270900207,3639050,green,green,954,17.2
Cleveland,9.7,20.2273027110953,1772872,yellow,green,954,22.9
Greensboro,8.05,16.7865759612698,336610,green,green,955,8.9
Cleveland,9.7,20.2273027110953,1772872,yellow,green,956,36.1
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,956,9
Gary,9.175,19.132526017969,76424,green,green,957,22.5
Omaha,7.3,15.2226092568037,780190,green,green,958,5.9
Detroit,8.4,17.5164270900207,3639050,green,green,962,16.7
Detroit,8.4,17.5164270900207,3639050,green,green,962,13.2
Kent,5.5,11.469089166085,118593,green,green,965,8.6
New York,6.625,13.8150392227842,8174962,green,green,966,7.4
El Paso,9.6,20.0187738171665,876991,yellow,green,968,20
Louisville,8.15,16.9951048551986,1031932,green,green,972,8.3
Henderson,7.4,15.4311381507325,257295,green,green,972,6.3
Detroit,8.4,17.5164270900207,3639050,green,green,976,19.4
Gary,9.175,19.132526017969,76424,green,green,977,28.7
Baltimore,8.4,17.5164270900207,2266981,green,green,977,21.9
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,977,21.3
Kansas City,7.6,15.8481959385901,1604389,green,green,978,26.7
Detroit,8.4,17.5164270900207,3639050,green,green,980,24.1
Baltimore,8.4,17.5164270900207,2266981,green,green,985,16.7
Newark,8.5,17.7249559839495,277149,green,green,987,12.5
Philadelphia,9.46,19.7268333656661,5585211,green,green,988,3.3
Stockton,12.65,26.3789050819954,403353,yellow,yellow,991,15
New York,6.625,13.8150392227842,8174962,green,green,992,6.3
Cleveland,9.7,20.2273027110953,1772872,yellow,green,994,20.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,994,12.3
New York,6.625,13.8150392227842,8174962,green,green,1003,21
Springfield,7.1,14.805551468946,646013,green,green,1005,22.3
Kansas City,7.6,15.8481959385901,1604389,green,green,1008,21.7
Greensboro,8.05,16.7865759612698,336610,green,green,1009,7.2
St. Louis,8.8375,18.4287410009592,2183942,green,green,1010,16.5
Fort Collins,6.8,14.1799647871596,144344,green,green,1011,7.3
Cleveland,9.7,20.2273027110953,1772872,yellow,green,1015,27
Louisville,8.15,16.9951048551986,1031932,green,green,1017,14.1
Cleveland,9.7,20.2273027110953,1772872,yellow,green,1019,25.4
Rochester,6.1,12.7202625296579,732692,green,green,1021,19.3
South Bend,9,18.7676004535936,101045,green,green,1021,13.3
Albuquerque,5,10.4264446964409,826787,green,green,1024,10.7
Springfield,7.1,14.805551468946,646013,green,green,1027,13.5
New York,6.625,13.8150392227842,8174962,green,green,1028,10.6
Greensboro,8.05,16.7865759612698,336610,green,green,1032,8.9
New York,6.625,13.8150392227842,8174962,green,green,1032,10.1
Louisville,8.15,16.9951048551986,1031932,green,green,1033,14
Kent,5.5,11.469089166085,118593,green,green,1033,5.7
Jersey City,8.75,18.2462782187715,264152,green,green,1034,2.5
Omaha,7.3,15.2226092568037,780190,green,green,1035,10.5
Anaheim,9.4,19.6017160293089,351043,green,green,1039,9.7
Detroit,8.4,17.5164270900207,3639050,green,green,1041,20
Cedar Rapids,7.8,16.2652537264478,257940,green,green,1041,8.2
Baltimore,8.4,17.5164270900207,2266981,green,green,1042,17.3
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,1045,8.8
Cedar Rapids,7.8,16.2652537264478,257940,green,green,1046,6.9
St. Paul,6.65,13.8671714462664,285063,green,green,1046,10.4
Cleveland,9.7,20.2273027110953,1772872,yellow,green,1048,23.9
Gary,9.175,19.132526017969,76424,green,green,1049,25.1
Honolulu,3.1,6.46439571179334,847986,green,green,1051,7.2
Charleston,7.3,15.2226092568037,227078,green,green,1053,10
New York,6.625,13.8150392227842,8174962,green,green,1053,12.5
Cleveland,9.7,20.2273027110953,1772872,yellow,green,1054,12.1
New York,6.625,13.8150392227842,8174962,green,green,1054,11.4
Louisville,8.15,16.9951048551986,1031932,green,green,1054,14.3
Albuquerque,5,10.4264446964409,826787,green,green,1055,7.8
New York,6.625,13.8150392227842,8174962,green,green,1056,14.2
North Las Vegas,10.2,21.2699471807394,216686,yellow,yellow,1057,7.5
Omaha,7.3,15.2226092568037,780190,green,green,1058,8.3
Raleigh,8.9,18.5590715596648,1139770,green,green,1060,5
Detroit,8.4,17.5164270900207,3639050,green,green,1062,16.9
Omaha,7.3,15.2226092568037,780190,green,green,1063,5.8
New York,6.625,13.8150392227842,8174962,green,green,1067,9
Lancaster,8.95,18.6633360066292,448969,green,green,1068,7.9
Louisville,8.15,16.9951048551986,1031932,green,green,1068,12.7
Thousand Oaks,9.6,20.0187738171665,126522,yellow,green,1069,9.1
Miami,7.85,16.3695181734122,5817221,green,green,1069,3.1
Fresno,13.05,27.2130206577107,711610,yellow,yellow,1072,10.1
New York,6.625,13.8150392227842,8174962,green,green,1074,13.5
